Date,Open,High,Low,Close,Volume,Change,news,Open_USD/KRW,High_USD/KRW,Low_USD/KRW,Close_USD/KRW,Adj Close_USD/KRW,Volume_USD/KRW,Open_ks11,High_ks11,Low_ks11,Close_ks11,Adj Close_ks11,Volume_ks11
2021-06-30,81100.0,81400.0,80700.0,80700.0,13288643.0,-0.0037037037037036535,0.83,1130.709961,1132.329956,1125.02002,1130.51001,1130.51001,0.0,3288.629883,3305.72998,3288.629883,3296.679932,3296.679932,1608900.0
2021-07-01,80500.0,80600.0,80000.0,80100.0,13382882.0,-0.0074349442379182396,0.76,1129.680054,1134.73999,1128.51001,1129.599976,1129.599976,0.0,3297.919922,3300.120117,3278.100098,3282.060059,3282.060059,1157700.0
2021-07-02,80000.0,80400.0,79900.0,80000.0,8753097.0,-0.0012484394506866447,0.35,1134.400024,1136.619995,1131.089966,1132.410034,1132.410034,0.0,3282.810059,3295.679932,3278.189941,3281.780029,3281.780029,1019400.0
2021-07-05,80100.0,80800.0,80000.0,80400.0,8330969.0,0.004999999999999893,0.39,1129.849976,1131.839966,1127.699951,1129.77002,1129.77002,0.0,3285.290039,3298.929932,3285.290039,3293.209961,3293.209961,849700.0
2021-07-06,80600.0,81200.0,80500.0,81200.0,12131651.0,0.00995024875621886,0.78,1130.099976,1137.619995,1128.73999,1129.439941,1129.439941,0.0,3295.439941,3313.51001,3295.439941,3305.209961,3305.209961,1028800.0
2021-07-07,81200.0,81300.0,80300.0,80800.0,15992202.0,-0.0049261083743842304,0.83,1135.689941,1142.26001,1134.660034,1135.47998,1135.47998,0.0,3303.590088,3303.590088,3277.659912,3285.340088,3285.340088,1146800.0
2021-07-08,81100.0,81200.0,79900.0,79900.0,16660998.0,-0.011138613861386149,0.94,1140.910034,1150.550049,1139.369995,1140.52002,1140.52002,0.0,3287.679932,3295.709961,3252.409912,3252.679932,3252.679932,1515200.0
2021-07-09,79600.0,79800.0,79000.0,79400.0,22720577.0,-0.006257822277847325,0.43,1146.22998,1149.780029,1142.349976,1146.280029,1146.280029,0.0,3245.52002,3245.52002,3188.800049,3217.949951,3217.949951,1307500.0
2021-07-12,79900.0,80000.0,79500.0,79700.0,9768108.0,0.0037783375314861534,0.43,1144.130005,1148.890015,1144.069946,1144.310059,1144.310059,0.0,3227.51001,3251.449951,3227.51001,3246.469971,3246.469971,1134600.0
2021-07-13,80000.0,80200.0,79800.0,79800.0,9863450.0,0.0012547051442910462,0.61,1142.849976,1148.630005,1141.589966,1141.099976,1141.099976,0.0,3253.23999,3273.899902,3253.23999,3271.379883,3271.379883,1149500.0
2021-07-14,79400.0,79600.0,79100.0,79500.0,11575636.0,-0.003759398496240629,0.22,1149.050049,1151.780029,1144.300049,1148.699951,1148.699951,0.0,3270.090088,3270.090088,3250.449951,3264.810059,3264.810059,908300.0
2021-07-15,79800.0,80600.0,79500.0,80600.0,13766279.0,0.01383647798742138,0.68,1144.310059,1147.790039,1138.170044,1143.410034,1143.410034,0.0,3269.330078,3286.580078,3263.090088,3286.219971,3286.219971,1171900.0
2021-07-16,80100.0,80100.0,79500.0,79800.0,10859399.0,-0.00992555831265507,0.45,1141.23999,1143.780029,1137.640015,1140.119995,1140.119995,0.0,3282.889893,3282.889893,3259.320068,3276.909912,3276.909912,1066100.0
2021-07-19,79100.0,79200.0,78800.0,79000.0,13155414.0,-0.010025062656641603,0.43,1141.540039,1153.560059,1141.530029,1141.5,1141.5,0.0,3258.870117,3258.870117,3236.389893,3244.040039,3244.040039,1095100.0
2021-07-20,78500.0,79000.0,78400.0,79000.0,12456646.0,0.0,0.54,1149.98999,1152.380005,1146.469971,1150.069946,1150.069946,0.0,3223.23999,3234.800049,3214.419922,3232.699951,3232.699951,979300.0
2021-07-21,79000.0,79100.0,78500.0,78500.0,12355296.0,-0.006329113924050667,0.52,1147.430054,1155.530029,1146.76001,1147.47998,1147.47998,0.0,3251.129883,3252.25,3215.909912,3215.909912,3215.909912,990300.0
2021-07-22,79000.0,79800.0,78900.0,79700.0,12618790.0,0.015286624203821653,0.36,1149.680054,1152.530029,1145.709961,1148.689941,1148.689941,0.0,3235.169922,3253.75,3235.169922,3250.209961,3250.209961,713000.0
2021-07-23,79700.0,79900.0,79200.0,79300.0,9098910.0,-0.005018820577164407,0.65,1149.930054,1154.390015,1146.680054,1149.910034,1149.910034,0.0,3253.439941,3264.01001,3246.090088,3254.419922,3254.419922,804600.0
2021-07-26,79400.0,79500.0,78800.0,78800.0,10040975.0,-0.006305170239596425,0.44,1151.109985,1156.170044,1151.109985,1151.119995,1151.119995,0.0,3265.98999,3265.98999,3224.949951,3224.949951,3224.949951,826100.0
